Kilometers_Driven,Mileage,Engine,Power,Seats,Age,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Owner_Type_First,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,Price
72000,26.6,998.0,58.16,5.0,16,True,False,False,False,False,True,True,False,False,False,1.75
41000,19.67,1582.0,126.2,5.0,11,False,True,False,False,False,True,True,False,False,False,12.5
46000,18.2,1199.0,88.7,5.0,15,False,False,False,True,False,True,True,False,False,False,4.5
87000,20.77,1248.0,88.76,7.0,14,False,True,False,False,False,True,True,False,False,False,6.0
40670,15.2,1968.0,140.8,5.0,13,False,True,False,False,True,False,False,False,True,False,17.74
75000,21.1,814.0,55.2,5.0,14,False,False,True,False,False,True,True,False,False,False,2.35
86999,23.08,1461.0,63.1,5.0,13,False,True,False,False,False,True,True,False,False,False,3.5
36000,11.36,2755.0,171.5,8.0,10,False,True,False,False,True,False,True,False,False,False,17.5
64430,20.54,1598.0,103.6,5.0,13,False,True,False,False,False,True,True,False,False,False,5.2
65932,22.3,1248.0,74.0,5.0,14,False,True,False,False,False,True,False,False,True,False,1.95
25692,21.56,1462.0,103.25,5.0,8,False,False,False,True,False,True,True,False,False,False,9.95
60000,16.8,1497.0,116.3,5.0,14,False,False,False,True,True,False,True,False,False,False,4.49
64424,25.2,1248.0,74.0,5.0,11,False,True,False,False,False,True,True,False,False,False,5.6
72000,12.7,2179.0,187.7,5.0,12,False,True,False,False,True,False,True,False,False,False,27.0
85000,0.0,2179.0,115.0,5.0,14,False,True,False,False,True,False,False,False,True,False,17.5
110000,13.5,2477.0,175.56,7.0,12,False,True,False,False,False,True,True,False,False,False,15.0
58950,25.8,1498.0,98.6,5.0,10,False,True,False,False,False,True,True,False,False,False,5.4
25000,28.4,1248.0,74.0,5.0,9,False,True,False,False,False,True,True,False,False,False,5.99
77469,20.45,1461.0,83.8,5.0,12,False,True,False,False,False,True,True,False,False,False,6.34
78500,14.84,2143.0,167.62,5.0,12,False,True,False,False,True,False,True,False,False,False,28.0
32982,22.69,1995.0,190.0,5.0,12,False,True,False,False,True,False,True,False,False,False,18.55
55392,23.65,1248.0,88.5,5.0,11,False,True,False,False,False,True,False,False,True,False,8.25
55985,13.53,1984.0,177.01,5.0,11,False,False,False,True,True,False,True,False,False,False,23.5
45807,18.5,1197.0,80.0,5.0,16,False,False,False,True,False,True,True,False,False,False,1.87
33000,14.4,1598.0,103.6,5.0,16,False,False,False,True,True,False,True,False,False,False,2.85
51920,16.8,1497.0,116.3,5.0,14,False,False,False,True,False,True,True,False,False,False,4.25
54000,23.08,1461.0,63.1,5.0,14,False,True,False,False,False,True,True,False,False,False,4.25
54000,20.92,998.0,67.1,5.0,13,False,False,False,True,False,True,False,False,True,False,2.75
37430,17.5,1199.0,88.7,5.0,8,False,False,False,True,False,True,True,False,False,False,9.9
262000,12.8,2494.0,102.0,7.0,19,False,True,False,False,False,True,False,True,False,False,4.0
62000,19.01,1461.0,108.45,5.0,13,False,True,False,False,False,True,True,False,False,False,7.75
87615,14.53,1798.0,138.1,5.0,14,False,False,False,True,False,True,True,False,False,False,6.75
72000,11.18,2696.0,184.0,7.0,13,False,True,False,False,True,False,False,False,True,False,12.5
35000,12.4,2698.0,179.5,5.0,16,False,True,False,False,True,False,True,False,False,False,11.5
55431,16.09,1598.0,103.5,5.0,12,False,False,False,True,False,True,False,False,True,False,6.98
83816,14.0,1061.0,64.0,5.0,17,False,False,False,True,False,True,False,False,True,False,1.85
50075,24.3,1248.0,88.5,5.0,8,False,True,False,False,False,True,True,False,False,False,8.63
52000,18.15,1198.0,82.0,5.0,9,False,False,False,True,False,True,True,False,False,False,4.85
85000,11.74,2987.0,254.8,5.0,13,False,True,False,False,True,False,True,False,False,False,28.0
62000,22.07,1199.0,73.9,5.0,13,False,True,False,False,False,True,True,False,False,False,5.0
90000,19.7,796.0,46.3,5.0,18,False,False,False,True,False,True,False,False,True,False,1.25
19698,25.4,624.0,37.5,4.0,12,False,False,False,True,False,True,True,False,False,False,1.53
22033,25.32,1198.0,77.0,6.0,9,False,True,False,False,False,True,True,False,False,False,5.58
35487,18.5,1197.0,82.9,5.0,12,False,False,False,True,False,True,True,False,False,False,4.74
46374,14.62,1999.0,149.92,5.0,12,False,False,False,True,True,False,True,False,False,False,8.85
52001,14.28,1798.0,138.03,5.0,10,False,False,False,True,True,False,True,False,False,False,10.11
58005,14.9,1991.0,112.2,5.0,18,False,True,False,False,False,True,False,False,True,False,4.25
70704,11.25,2694.0,163.7,7.0,14,False,False,False,True,False,True,True,False,False,False,10.95
75000,24.4,1120.0,71.0,5.0,12,False,True,False,False,False,True,True,False,False,False,3.85
75800,16.55,2498.0,105.0,6.0,14,False,True,False,False,False,True,False,False,True,False,5.5
13648,17.11,1968.0,174.33,5.0,11,False,True,False,False,True,False,True,False,False,False,21.43
52000,22.9,1248.0,74.0,5.0,12,False,True,False,False,False,True,True,False,False,False,4.25
53000,17.8,1248.0,75.0,5.0,12,False,True,False,False,False,True,True,False,False,False,3.3
